id,meta_key,meta_value,term_id,created_by
2818,displayName.my,ကြော်ငြာနှင့် လူမှုဆက်ဆံရေး/ မာကတ်တင်း,1016,liquibase
2821,displayName.my,ဗိသုကာ/ အိမ်တွင်း အလှဆင် ဒီဇိုင်း,1019,liquibase
2823,displayName.my,ဘဏ်/ လုံခြုံရေး/ ရင်းနှီးမြှုပ်နှံရေး,1021,liquibase
2824,displayName.my,အလှအပ/ Spa/ အလှကုန်,1022,liquibase
2833,displayName.my,ဒီဇိုင်း/ လက်မှု အနုပညာ,1031,liquibase
2834,displayName.my,ဖြန့်ဖြူးရေး/ သယ်ယူပို့ဆောင်ရေး/ လေကြောင်းလိုင်း,1032,liquibase
2835,displayName.my,ပညာရေး/ လေ့ကျင့်ရေး,1033,liquibase
2837,displayName.my,အင်ဂျင်နီယာ/ စက်ပြုပြင်ထိန်းသိမ်းရေး/ HVAC,1035,liquibase
2846,displayName.my,ဥပဒေဆိုင်ရာ ဝန်ဆောင်မှုများ/ စာချုပ်ချုပ်ဆိုမှု,1044,liquibase
2847,displayName.my,ထုတ်လုပ်ရေး,1045,liquibase
2850,displayName.my,အနုပညာ/ ရုပ်ရှင်,1048,liquibase
2857,displayName.my,လုံခြုံရေး/ အစောင့်,1055,liquibase
2861,displayName.my,ဟိုတယ်နှင့် ခရီးသွား,1059,liquibase
3412,displayName.my-zawgyi,ေၾကာ္ျငာႏွင့္ လူမႈဆက္ဆံေရး/ မာကတ္တင္း,1016,liquibase
3415,displayName.my-zawgyi,ဗိသုကာ/ အိမ္တြင္း အလွဆင္ ဒီဇိုင္း,1019,liquibase
3417,displayName.my-zawgyi,ဘဏ္/ လုံျခံဳေရး/ ရင္းႏွီးျမွဳပ္ႏွံေရး,1021,liquibase
3418,displayName.my-zawgyi,အလွအပ/ Spa/ အလွကုန္,1022,liquibase
3427,displayName.my-zawgyi,ဒီဇိုင္း/ လက္မႈ အႏုပညာ,1031,liquibase
3428,displayName.my-zawgyi,ျဖန္႔ျဖဴးေရး/ သယ္ယူပို႔ေဆာင္ေရး/ ေလေၾကာင္းလိုင္း,1032,liquibase
3429,displayName.my-zawgyi,ပညာေရး/ ေလ့က်င့္ေရး,1033,liquibase
3431,displayName.my-zawgyi,အင္ဂ်င္နီယာ/ စက္ျပဳျပင္ထိန္းသိမ္းေရး/ HVAC,1035,liquibase
3440,displayName.my-zawgyi,ဥပေဒဆိုင္ရာ ဝန္ေဆာင္မႈမ်ား/ စာခ်ဳပ္ခ်ဳပ္ဆိုမႈ,1044,liquibase
3441,displayName.my-zawgyi,ထုတ္လုပ္ေရး,1045,liquibase
3444,displayName.my-zawgyi,အႏုပညာ/ ရုပ္ရွင္,1048,liquibase
3451,displayName.my-zawgyi,လုံျခံဳေရး/ အေစာင့္,1055,liquibase
